"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Pressure"	"Temperature"	"Pressure_Coefficient"	"Mach"
10	0.000000000000000e+00	2.802599999994820e-02	1.176829268292683e+00	1.225745504857560e+03	-1.405793290369343e-13	8.916599999981263e+05	1.013250000000002e+05	3.000000000000006e+02	2.735547374124630e-16	2.999999999995593e+00	
11	0.000000000000000e+00	3.269699999993875e-02	1.176829268292683e+00	1.225745504857561e+03	-1.829998365295563e-14	8.916599999981265e+05	1.013250000000001e+05	3.000000000000002e+02	1.367773687062315e-16	2.999999999995596e+00	
12	0.000000000000000e+00	3.736799999992901e-02	1.176829268292683e+00	1.225745504857560e+03	-2.389274232414441e-14	8.916599999981263e+05	1.013250000000002e+05	3.000000000000007e+02	3.875358780009892e-16	2.999999999995592e+00	
13	0.000000000000000e+00	4.203899999991892e-02	1.176829268292683e+00	1.225745504857561e+03	9.007114654879835e-14	8.916599999981266e+05	1.013250000000002e+05	3.000000000000004e+02	2.735547374124630e-16	2.999999999995594e+00	
14	0.000000000000000e+00	4.670999999990882e-02	1.176829268292683e+00	1.225745504857560e+03	1.606224526094866e-13	8.916599999981264e+05	1.013250000000002e+05	3.000000000000006e+02	2.963509655301682e-16	2.999999999995593e+00	
15	0.000000000000000e+00	5.138099999989877e-02	1.176829268292683e+00	1.225745504857561e+03	7.385510026467843e-15	8.916599999981268e+05	1.013250000000000e+05	2.999999999999999e+02	-4.559245623541049e-17	2.999999999995599e+00	
16	0.000000000000000e+00	5.605199999988955e-02	1.176829268292682e+00	1.225745504857560e+03	-7.210188351041555e-14	8.916599999981264e+05	1.013250000000000e+05	3.000000000000001e+02	-4.559245623541049e-17	2.999999999995598e+00	
17	0.000000000000000e+00	6.072299999988120e-02	1.176829268292682e+00	1.225745504857561e+03	-4.550866826860404e-14	8.916599999981265e+05	1.013250000000000e+05	3.000000000000001e+02	-2.279622811770525e-17	2.999999999995598e+00	
18	0.000000000000000e+00	6.539399999987369e-02	1.176829268292683e+00	1.225745504857560e+03	-4.308539750760456e-15	8.916599999981263e+05	1.013250000000002e+05	3.000000000000006e+02	2.735547374124630e-16	2.999999999995593e+00	
19	0.000000000000000e+00	7.006499999986703e-02	1.176829268292683e+00	1.225745504857561e+03	1.628738218863973e-14	8.916599999981264e+05	1.013250000000001e+05	3.000000000000002e+02	1.367773687062315e-16	2.999999999995596e+00	
