x,V101_H321,V151_H421,V201_H521,V301_H621,V401_H721
1.516299567250698199e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.531655962268511362e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.547012357286324524e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.562368752304137687e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.577725147321950849e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.593081542339764012e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.608437937357577174e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.623794332375390337e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.639150727393203499e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.654507122411016662e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.669863517428829824e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.685219912446642987e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.700576307464456149e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.715932702482269312e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.731289097500082474e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.746645492517895637e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.762001887535708800e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.777358282553521962e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.792714677571335402e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.808071072589148565e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.823427467606961727e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.838783862624774890e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.854140257642588052e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.869496652660401215e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.884853047678214377e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.900209442696027540e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.915565837713840702e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.930922232731653865e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.946278627749467027e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.961635022767280190e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.976991417785093352e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
1.992347812802906515e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.007704207820719677e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.023060602838532840e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.038416997856346002e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.053773392874159165e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.069129787891972327e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.084486182909785490e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.099842577927598652e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.115198972945411815e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.130555367963224978e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.145911762981038140e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.161268157998851303e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.176624553016664465e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.191980948034477628e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.207337343052290790e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.222693738070103953e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.238050133087917115e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.253406528105730278e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.268762923123543440e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.284119318141356603e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.299475713159170043e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
2.314832108176983205e-01,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00,1.630947947502136230e+00
